source_table,source_column,target_model,target_field,transform_rule,required_default,validation_owner,mapping_status,notes
tblRadRequest,Date,apps.radiology.RadiologyRequest,requested_at,parse_datetime_to_utc,required,Radiology Lead,proposed,Confirm date source if multiple fields exist.
tblRadRequest,Sender,apps.radiology.RadiologyRequest,ordered_by,lookup_user_by_name_or_legacy_id,optional_fk,Radiology Lead,proposed,Loader falls back to migration_doctor when sender lookup fails.
tblRadRequest,Status,apps.radiology.RadiologyRequest,status,map_radiology_status_enum,default_PENDING,Radiology Lead,proposed,Legacy completed-like states map to COMPLETED else PENDING.
tblRadRequest,Diagnosis,apps.radiology.RadiologyRequest,clinical_indication,trim_preserve_case,optional_null,Radiology Lead,proposed,Prefixed with [Legacy RadRequestID:N] for idempotency.
tblRadRequest,Investigations,apps.radiology.RadiologyRequest,study_type,pipe_list_take_first,optional_null,Radiology Lead,proposed,Aggregated from tblRadRequestDetails+tblChargeItem; first item becomes study_type.
tblRadResult,RequestID,apps.radiology.RadiologyRequest,request_link,lookup_radiology_request_by_legacy_request_id,required_fk,Data Engineering,proposed,Matches RadiologyRequest via [Legacy RadRequestID:N] tag.
tblRadResult,PatientID,apps.radiology.RadiologyRequest,patient_fallback,lookup_patient_and_nearest_request,optional_fk,Data Engineering,proposed,Fallback when direct RequestID match fails.
tblRadResult,Date,apps.radiology.RadiologyRequest,report_date,parse_datetime_to_utc,optional_null,Radiology Lead,proposed,Used when present.
tblRadResult,ReportBy,apps.radiology.RadiologyRequest,reported_by,lookup_radiology_tech_user,optional_fk,Radiology Lead,proposed,Loader uses migration_radiology_tech/first RADIOLOGY_TECH fallback.
tblRadResult,ReportText,apps.radiology.RadiologyRequest,report,normalize_multiline_text,required,Radiology Lead,proposed,Writes report and marks request COMPLETED.
tblDrugPresItems,PresItemID,apps.pharmacy.Prescription,legacy_pres_item_id,copy_int_as_legacy_id,required,Data Engineering,proposed,One Prescription per line; idempotency [Legacy PresItemID:N] in instructions.
tblDrugPresItems,PrescriptionID,apps.pharmacy.Prescription,legacy_prescription_header_id,copy_int_as_legacy_id,optional_fk,Data Engineering,proposed,From tblDrugPrescription join.
tblDrugPresItems,PatientID,apps.pharmacy.Prescription,patient,lookup_patient_by_legacy_id,required_fk,Data Engineering,proposed,Visit resolved by nearest PrescriptionDate.
tblDrugPresItems,PrescriptionDate,apps.pharmacy.Prescription,created_at,parse_datetime_to_utc,required,Pharmacy Lead,proposed,tblDrugPrescription.Date.
tblDrugPresItems,Sender,apps.pharmacy.Prescription,legacy_sender,trim_preserve_case,optional_null,Pharmacy Lead,proposed,Not yet mapped to user; prescribed_by uses migration_doctor.
tblDrugPresItems,DrugItemID,apps.pharmacy.Prescription,legacy_drug_item_id,copy_int_as_legacy_id,optional_fk,Pharmacy Lead,proposed,Resolves Drug.name via drug_code LIFEWAY-{id} after tblPhamDrugItem load.
tblDrugPresItems,DrugName,apps.pharmacy.Prescription,drug_name_fallback,trim_preserve_case,optional_null,Pharmacy Lead,proposed,From tblPhamDrugItem.Name join.
tblDrugPresItems,QtyIssued,apps.pharmacy.Prescription,qty_issued,cast_int_nonnegative,optional_null,Pharmacy Lead,proposed,Dispensed when QtyIssued>0; is_emergency=True for migration.
tblDrugPresItems,ItemNotes,apps.pharmacy.Prescription,instructions_notes,trim_preserve_case,optional_null,Pharmacy Lead,proposed,Merged into instructions with legacy ids.
tblPhamDrugItem,DrugItemID,apps.pharmacy.Drug,legacy_drug_id,copy_int_as_legacy_id,required,Data Engineering,proposed,Confirm no duplicate drug IDs.
tblPhamDrugItem,DrugName,apps.pharmacy.Drug,name,trim_preserve_case_unique,required,Pharmacy Lead,proposed,Need dedupe rules for variant names.
tblPhamDrugItem,UnitPrice,apps.pharmacy.Drug,unit_price,cast_decimal_2dp_nonnegative,default_0.00,Pharmacy Lead,proposed,Confirm currency and tax inclusions.
tblPhamDrugItem,Cost,apps.pharmacy.Drug,cost_price,cast_decimal_2dp_nonnegative,optional_null,Pharmacy Lead,proposed,Used by migrate_lmc load for Drug.cost_price when present in CSV.
tblPhamDrugLedger,Date,apps.pharmacy.StockMovement,moved_at,parse_datetime_to_utc,required,Pharmacy Lead,proposed,Confirm posting date semantics.
tblPhamDrugLedger,StockIn,apps.pharmacy.StockMovement,quantity,cast_int_positive_for_in,required_if_stockin,Pharmacy Lead,proposed,Mutually exclusive with StockOut.
tblPhamDrugLedger,StockOut,apps.pharmacy.StockMovement,quantity,cast_int_negative_for_out,required_if_stockout,Pharmacy Lead,proposed,Mutually exclusive with StockIn.
tblPatientPayment,PaymentID,apps.billing.Payment,legacy_payment_id,copy_int_as_legacy_id,required,Data Engineering,draft,LMC-only schema; LIFEWAY export uses PatientPayID/PayAmount (see rows above).
tblPatientPayment,VisitID,apps.billing.Payment,visit,lookup_visit_by_legacy_id,required_fk,Data Engineering,draft,LMC-only; LIFEWAY resolves visit from PaymentDate + PatientID.
tblPatientPayment,Amount,apps.billing.Payment,amount,cast_decimal_2dp_nonnegative,required,Billing Lead,draft,LMC-only; LIFEWAY uses PayAmount.
tblPatientPayment,PaymentDate,apps.billing.Payment,paid_at,parse_datetime_to_utc,required,Billing Lead,draft,Duplicate source col; LIFEWAY PaymentDate maps to created_at in row 44.
tblPatientPayment,PaymentMode,apps.billing.Payment,payment_method,map_payment_method_enum,required,Billing Lead,draft,LMC-only; LIFEWAY uses HMOCode for insurance vs cash.
tblReceiptGrid,ItemName,apps.billing.VisitCharge,description,trim_preserve_case,required,Billing Lead,proposed,Confirm service catalog linkage strategy.
tblReceiptGrid,Amount,apps.billing.VisitCharge,amount,cast_decimal_2dp_nonnegative,required,Billing Lead,proposed,Validate charge totals against receipts.
tblReferal,ReferralID,apps.referrals.Referral,legacy_referral_id,copy_int_as_legacy_id,required,Data Engineering,proposed,Confirm spelling variants (Referal/Referral).
tblReferal,PatientID,apps.referrals.Referral,patient,lookup_patient_by_legacy_id,required_fk,Data Engineering,proposed,Requires patient crosswalk.
tblReferal,ReferredTo,apps.referrals.Referral,referred_to,trim_preserve_case,required,Clinical Operations,proposed,Define internal vs external destination rules.
tblReferal,Reason,apps.referrals.Referral,reason,normalize_multiline_text,optional_null,Clinical Operations,proposed,Confirm requiredness for compliance.
tblANC,ANCID,apps.antenatal.AntenatalRecord,legacy_anc_id,copy_int_as_legacy_id,required,Data Engineering,proposed,Confirm one ANC record per pregnancy rule.
tblANC,PatientID,apps.antenatal.AntenatalRecord,patient,lookup_patient_by_legacy_id,required_fk,Data Engineering,proposed,Requires patient crosswalk.
tblANCVisits,VisitDate,apps.antenatal.AntenatalVisit,visit_date,parse_date_or_datetime_to_date,required,Antenatal Lead,proposed,Confirm ANC visit sequencing logic.
tblAdmissionRequest,RequestID,apps.visits.Visit,admission_request_legacy_id,copy_int_as_legacy_ref,optional_null,Inpatient Lead,proposed,May need dedicated admission model mapping.
tblAdmission,AdmissionID,apps.visits.Visit,admission_legacy_id,copy_int_as_legacy_ref,optional_null,Inpatient Lead,proposed,Likely better mapped to admission/discharge domain tables.
