Department,Service Code,Service Name,Amount,Workflow Type
PROCEDURE,Proc-0066,Fibroid Surgery,280000,PROCEDURE
PROCEDURE,Proc-0067,Fistula - in - ano,180000,PROCEDURE
PROCEDURE,Proc-0068,foot/Ankle cast,30000,PROCEDURE
PROCEDURE,Proc-0069,Fore arm cast only,30000,PROCEDURE
PROCEDURE,Proc-0070,Ganglion Excision,60000,PROCEDURE
PROCEDURE,Proc-0071,Gastric Lavage,15000,PROCEDURE
PROCEDURE,Proc-0072,Gastroduodenoscopy (Block fee),1,PROCEDURE
PROCEDURE,Proc-0073,General ward (3 beds and more) per night,3000,PROCEDURE
PROCEDURE,Proc-0074,General Consultation (covers 1week),1000,PROCEDURE
PROCEDURE,Proc-0075,Gynaecology,2000,PROCEDURE
PROCEDURE,Proc-0076,Haemorriodectomy,120000,PROCEDURE
PROCEDURE,Proc-0077,Hand/Wrist cast only,30000,PROCEDURE
PROCEDURE,Proc-0078,Herniorrhaphy (Complicated or recurrent hernier),1,PROCEDURE
PROCEDURE,Proc-0079,Herniorrhaphy (Normal uncomplicated hernier),80000,PROCEDURE
PROCEDURE,Proc-0080,Hydrocelectomy (Bilateral (Minor),100000,PROCEDURE
PROCEDURE,Proc-0081,Hydrocelectomy (Unilateral (Minor),60000,PROCEDURE
PROCEDURE,Proc-0082,Hydrointubation,400000,PROCEDURE
PROCEDURE,Proc-0083,Hyperglycaemia but consciouse,25000,PROCEDURE
PROCEDURE,Proc-0084,Hypertension severe,25000,PROCEDURE
PROCEDURE,Proc-0085,Hysterectomy,250000,PROCEDURE
PROCEDURE,Proc-0086,Hysteroscopy,1,PROCEDURE
PROCEDURE,Proc-0087,Incision & Drainage,5000,PROCEDURE
PROCEDURE,Proc-0088,Incubator,25000,PROCEDURE
PROCEDURE,Proc-0089,Incubator Care Per Day,25000,PROCEDURE
PROCEDURE,Proc-0090,Induction of Labour,8000,PROCEDURE
PROCEDURE,Proc-0091,Ingrowing Toe nail Excision (Block fee),30000,PROCEDURE
PROCEDURE,Proc-0092,Injection Sclerotherapy Of Varicose Veins (Block fee),1,PROCEDURE
PROCEDURE,Proc-0093,Insertion of IUCD,6500,PROCEDURE
PROCEDURE,Proc-0094,Intensive Care ward for critical patient,10000,PROCEDURE
PROCEDURE,Proc-0095,Intensive Care ward for non critical patient,1,PROCEDURE
PROCEDURE,Proc-0096,Intestinal Obstruction with resection,250000,PROCEDURE
PROCEDURE,Proc-0097,Intestinal Obstruction without resection,200000,PROCEDURE
PROCEDURE,Proc-0098,Intra articular injection excluding drug,5000,PROCEDURE
PROCEDURE,Proc-0099,Joint Aspiration (Block fee),5000,PROCEDURE
PROCEDURE,Proc-0100,Keloid Excision (Block fee),50000,PROCEDURE
PROCEDURE,Proc-0101,Knee /Ankle brace,1,PROCEDURE
PROCEDURE,Proc-0102,Knee Effusion Tap,2500,PROCEDURE
PROCEDURE,Proc-0103,Labour (woman in labour),10000,PROCEDURE
PROCEDURE,Proc-0104,Laparatomy,150000,PROCEDURE
PROCEDURE,Proc-0105,Laparoscopy & Dye test,1,PROCEDURE
PROCEDURE,Proc-0106,Leg/Knee cast,35000,PROCEDURE
PROCEDURE,Proc-0107,Lipoma excision (Block fee),30000,PROCEDURE
PROCEDURE,Proc-0108,Lumbar Puncture,3000,PROCEDURE
PROCEDURE,Proc-0109,Major I&D (Block fee),30000,PROCEDURE
PROCEDURE,Proc-0110,Major Woiund Debridement (<18%),100000,PROCEDURE
PROCEDURE,Proc-0111,Major Wound Debridement (>18%),50000,PROCEDURE
PROCEDURE,Proc-0112,Major Wound Dressing / Day,1000,PROCEDURE
PROCEDURE,Proc-0113,Marsupialization,50000,PROCEDURE
PROCEDURE,Proc-0114,"Medical Care for critically ill of coma, tetenus",7500,PROCEDURE
PROCEDURE,Proc-0115,Medical Care Per Day,2500,PROCEDURE
PROCEDURE,Proc-0116,Medical Report,3000,PROCEDURE
PROCEDURE,Proc-0117,Minimum Non-refundable Admission Deposit,10000,PROCEDURE
PROCEDURE,Proc-0118,Minor Debridement Of Burns (Block fee),1,PROCEDURE
PROCEDURE,Proc-0119,Minor wound Debridement,10000,PROCEDURE
PROCEDURE,Proc-0120,Minor Wound Dressing,750,PROCEDURE
PROCEDURE,Proc-0121,Moderately ill (Normal),10000,PROCEDURE
PROCEDURE,Proc-0122,Multiple Delivery (Booked Patient),35000,PROCEDURE
PROCEDURE,Proc-0123,Multiple Delivery (Unbooked Patient),40000,PROCEDURE
PROCEDURE,Proc-0124,Myomectomy (Fibroid Surgery),280000,PROCEDURE
PROCEDURE,Proc-0125,Nasal Packing,10000,PROCEDURE
PROCEDURE,Proc-0126,Nebulisation +Drug (Out patient),2000,PROCEDURE
PROCEDURE,Proc-0127,Neck Collar (Hard),1,PROCEDURE
PROCEDURE,Proc-0128,Neck Collar (Soft),1,PROCEDURE
PROCEDURE,Proc-0129,Nephrectomy,250000,PROCEDURE
PROCEDURE,Proc-0130,Non refundable admission deposit,10000,PROCEDURE
PROCEDURE,Proc-0131,Normal Delivery (Booked Patient),25000,PROCEDURE
PROCEDURE,Proc-0132,Normal Delivery (Unbooked Patient),30000,PROCEDURE
PROCEDURE,Proc-0133,NURSING CARE PER DAY,5000,PROCEDURE
PROCEDURE,Proc-0134,Oesophagoscopy (Block fee),1,PROCEDURE
PROCEDURE,Proc-0135,Orchidectomy/Orchidopexy (Bilateral),90000,PROCEDURE
PROCEDURE,Proc-0136,Orchidectomy/Orchidopexy (unilateral),50000,PROCEDURE
PROCEDURE,Proc-0137,ORIF + Implant (Hand or Foot),360000,PROCEDURE
PROCEDURE,Proc-0138,ORIF +Implant (Major bone),260000,PROCEDURE
PROCEDURE,Proc-0139,Ovarectomy,150000,PROCEDURE
PROCEDURE,Proc-0140,OVARIAN CYST CYSTECTOMY,350000,PROCEDURE
PROCEDURE,Proc-0141,Oxygen Therapy Per hour,1000,PROCEDURE
PROCEDURE,Proc-0142,PAP SMEAR (Procedure + Cytology),75000,PROCEDURE
PROCEDURE,Proc-0143,Phototherapy Per Day,10000,PROCEDURE
PROCEDURE,Proc-0144,Physiotherapy Service / Session per day,10000,PROCEDURE
PROCEDURE,Proc-0145,POP APPLICATION,40000,PROCEDURE
PROCEDURE,Proc-0146,Proctoscopy (Block fee),1,PROCEDURE
PROCEDURE,Proc-0147,Prostate Biopsy,70000,PROCEDURE
PROCEDURE,Proc-0148,Prostatectomy,250000,PROCEDURE
PROCEDURE,Proc-0149,Radical mastectomy,270000,PROCEDURE
PROCEDURE,Proc-0150,REFERRAL LETTER,1,PROCEDURE
PROCEDURE,Proc-0151,Release Of Chordae (Block fee),1,PROCEDURE
PROCEDURE,Proc-0152,Removal Impacted Faces,10000,PROCEDURE
PROCEDURE,Proc-0153,Removal of Implant,180000,PROCEDURE
PROCEDURE,Proc-0154,Removal Of IUCD (No General Anaesthesia),5000,PROCEDURE
PROCEDURE,Proc-0155,Repair of 3rd degree tear (Block fee),40000,PROCEDURE
PROCEDURE,Proc-0156,Repair of bowel perforation,150000,PROCEDURE
PROCEDURE,Proc-0157,Repair of minor vaginal laceration (2nd degree),10000,PROCEDURE
PROCEDURE,Proc-0158,Repair of minor vaginal laceration (2nd degree) (Block fee),10000,PROCEDURE
PROCEDURE,Proc-0159,Repair Of Ruptured Uterus,200000,PROCEDURE
PROCEDURE,Proc-0160,Repair of Third degree tear,40000,PROCEDURE
PROCEDURE,Proc-0161,Report of medical fitness(Excluding Relevant Test),3000,PROCEDURE
PROCEDURE,Proc-0162,SALPHINGECTOMY/OOPHORECTOMY,200000,PROCEDURE
PROCEDURE,Proc-0163,Severely ill,30000,PROCEDURE
PROCEDURE,Proc-0164,Sigmoidoscopy (Block fee),1,PROCEDURE
PROCEDURE,Proc-0165,Simple mastectomy + Histology,240000,PROCEDURE
PROCEDURE,Proc-0166,SINGLE BED - PRIVATE (VIP 1),20000,PROCEDURE
PROCEDURE,Proc-0167,Skin Grafting (<9%),1,PROCEDURE
PROCEDURE,Proc-0168,Skin Grafting (>9%),1,PROCEDURE
PROCEDURE,Proc-0169,Skin traction,50000,PROCEDURE
PROCEDURE,Proc-0170,Small Cyst Excision (Block fee),30000,PROCEDURE
PROCEDURE,Proc-0171,"Specialist Consultation - 1st Visit (O&G, Surgery, Paediatrics)",5000,PROCEDURE
PROCEDURE,Proc-0172,Specialist consultation follow up,3000,PROCEDURE
PROCEDURE,Proc-0173,"Specialist for Rare Specielties(Neuro,Ortho,Cardiothoracic)",1,PROCEDURE
PROCEDURE,Proc-0174,Splenectomy,150000,PROCEDURE
PROCEDURE,Proc-0175,Subdural Tap,1,PROCEDURE
PROCEDURE,Proc-0176,Supra pubic cystostomy,80000,PROCEDURE
PROCEDURE,Proc-0177,Suprapubic cystectomy (SPC),80000,PROCEDURE
PROCEDURE,Proc-0178,Suturing Of Major Wounds (10cm and above),30,PROCEDURE
PROCEDURE,Proc-0179,Suturing Of Simple Laceration (Less than 10cm),20,PROCEDURE
PROCEDURE,Proc-0180,Thearter fee Intermediate,15000,PROCEDURE
PROCEDURE,Proc-0181,Thearter fee Intermediate,15000,PROCEDURE
PROCEDURE,Proc-0182,Thearter fee Major,30000,PROCEDURE
PROCEDURE,Proc-0183,Thearter fee Minor,5000,PROCEDURE
PROCEDURE,Proc-0184,Thearter fee Minor,5000,PROCEDURE
PROCEDURE,Proc-0185,THERAPEUTIC D&C / UTERINE EVACUATION (LEGAL),150000,PROCEDURE
PROCEDURE,Proc-0186,THIGH/HIP CAST,70000,PROCEDURE
PROCEDURE,Proc-0187,Thyroidectomy,200000,PROCEDURE
PROCEDURE,Proc-0188,TONGUE TIE RELEASE,5000,PROCEDURE
PROCEDURE,Proc-0189,Torsion spermatic cord,150000,PROCEDURE
PROCEDURE,Proc-0190,Tracheostomy (Block fee),1,PROCEDURE
PROCEDURE,Proc-0191,Unconsciouse Patient,50000,PROCEDURE
PROCEDURE,Proc-0192,upper arm cast only,35000,PROCEDURE
PROCEDURE,Proc-0193,Ureteral re-implantation,250000,PROCEDURE
PROCEDURE,Proc-0194,Ureteral Repair,200000,PROCEDURE
PROCEDURE,Proc-0195,Urethroplasty,250000,PROCEDURE
PROCEDURE,Proc-0196,Whole lower limb cast,40000,PROCEDURE
PROCEDURE,Proc-0197,whole upper limb,35000,PROCEDURE
PROCEDURE,Proc-0198,perioepical xray,3000,PROCEDURE
PROCEDURE,Proc-0199,INDUCTION OF LABOUR,400000,PROCEDURE
PROCEDURE,Proc-0200,"CEASERAN SECTION: Includes Surgery, Admission (5 days), Post-OP Drugs",1200000,PROCEDURE
PROCEDURE,Proc-0201,REPEAT CS,850000,PROCEDURE
PROCEDURE,Proc-0202,MANUAL VACUUM ASPIRATION (With Anaesthesia),350000,PROCEDURE
PROCEDURE,Proc-0203,MANUAL VACUUM ASPIRATION (Without Anaesthesia),200000,PROCEDURE
PROCEDURE,Proc-0204,HISTOLOGY,45000,PROCEDURE
PROCEDURE,Proc-0205,PAP SMEAR,36000,PROCEDURE
PROCEDURE,Proc-0206,OPEN SURGERY,1000000,PROCEDURE
PROCEDURE,Proc-0207,MYOMECTOMY,1200000,PROCEDURE
PROCEDURE,Proc-0208,DIAGNOSTIC HYSTEROSCOPY,400000,PROCEDURE
PROCEDURE,Proc-0209,DIAGNOSTIC LAPAROSCOPY,800000,PROCEDURE
PROCEDURE,Proc-0210,OPERATIVE HYSTEROSCOPY,800000,PROCEDURE
PROCEDURE,Proc-0211,CYST DRAINAGE WITH ANAESTHESIA,250000,PROCEDURE
PROCEDURE,Proc-0212,CYST WITHOUT ANAESTHESIA,150000,PROCEDURE
PROCEDURE,Proc-0213,ENDOMETRIAL SCRATCHING WITH ANAESTHESIA,350000,PROCEDURE
PROCEDURE,Proc-0214,ENDOMETRIAL SCRATCHING WITHOUT ANAESTHESIA,200000,PROCEDURE
PROCEDURE,Proc-0215,DIAGNOSTIC LAPARSOCOPY,400000,PROCEDURE
PROCEDURE,Proc-0216,LAPAROSCOPIC CYSTECTOMY,1000000,PROCEDURE
PROCEDURE,Proc-0217,LAPAROSCOPIC APPENDECTOMY,1000000,PROCEDURE
PROCEDURE,Proc-0218,MYOMECTOMY,800000,PROCEDURE
PROCEDURE,Proc-0219,HYSTERECTOMY,1000000,PROCEDURE
PROCEDURE,Proc-0220,CERVICAL CERCLAGE,450000,PROCEDURE
PROCEDURE,Proc-0221,FREEZING OF EMBRYOS (1 Year),1000000,PROCEDURE
PROCEDURE,Proc-0222,FREEZING OF EMBRYOS (<1 Year),500000,PROCEDURE
PROCEDURE,Proc-0223,INTRA-UTERINE INSEMINATION (IUI),600000,PROCEDURE
PROCEDURE,Proc-0224,EPISIORRHAPHY,100000,PROCEDURE
PROCEDURE,Proc-0225,SUTURE OF LACERATIONS,30000,PROCEDURE
PROCEDURE,Proc-0226,APPENDECTOMY,800000,PROCEDURE
PROCEDURE,Proc-0227,WOUND DRESSING,8000,PROCEDURE
PROCEDURE,Proc-0228,MEDICAL REPORT,10000,PROCEDURE
PROCEDURE,Proc-0229,BIRTH CERTIFICATE,10000,PROCEDURE
PROCEDURE,Proc-0230,MEDICAL FITNESS CERTIFICATE,10000,PROCEDURE
PROCEDURE,Proc-0231,BONE MARROW ASPIRATION,350000,PROCEDURE
PROCEDURE,Proc-0232,BONE MARROW ASPIRATION + TREPHINE BIOPSY (EXCLUSIVE OF HISTOLOGY),400000,PROCEDURE
PROCEDURE,Proc-0233,THEATRE USE,80000,PROCEDURE
PROCEDURE,Proc-0234,ANAESTHESIA,70000,PROCEDURE
PROCEDURE,Proc-0235,ANAESTHETIST,80000,PROCEDURE
PROCEDURE,Proc-0236,BLOOD TRANSFUSION (PATIENT'S DONOR) X1 POSITIVE UNIT,34500,PROCEDURE
PROCEDURE,Proc-0237,BLOOD TRANSFUSION (OUTSOURCED) X1 NEGATIVE UNIT,60000,PROCEDURE
PROCEDURE,Proc-0238,EAR PIERCING,5000,PROCEDURE
PROCEDURE,Proc-0239,OXYGEN ADMINISTRATION (BIG CYLINDER),22000,PROCEDURE
PROCEDURE,Proc-0240,OXYGEN ADMINISTRATION (SMALL CYLINDER),8000,PROCEDURE
PROCEDURE,Proc-0241,PHOTOTHERAPY PER DAY,10000,PROCEDURE
PROCEDURE,Proc-0242,INTRA-UTERINE INSEMINATION (IUI),600000,PROCEDURE
PROCEDURE,Proc-0243,SINGLE BED - PRIVATE (VIP 2),20000,PROCEDURE
PROCEDURE,Proc-0244,SINGLE BED - PRIVATE (VIP 3),20000,PROCEDURE
PROCEDURE,Proc-0245,NURSING CARE - PRIVATE WARD,10000,PROCEDURE
PROCEDURE,Proc-0246,EUA PROCEDURE,200000,PROCEDURE
PROCEDURE,Proc-0247,LUTEAL PHASE SUPPORT DRUGS,500000,PROCEDURE
PROCEDURE,Proc-0248,PAP SMEAR AND HPV TESTING,90000,PROCEDURE
PROCEDURE,Proc-0249,HPV TESTING,60000,PROCEDURE
